Draw Date,Month,Day,Year,Weekday,Weekday,Quarter,Winning Numbers,Mega Ball,Multiplier,First,Second,Third,Fourth,Fifth
2/23/2021,2,23,2021,Tue,0,1,05 07 09 20 57,15,3,5,7,9,20,57
2/26/2021,2,26,2021,Fri,1,1,11 15 37 62 64,5,2,11,15,37,62,64
3/2/2021,3,2,2021,Tue,0,1,04 08 13 34 64,18,2,4,8,13,34,64
3/5/2021,3,5,2021,Fri,1,1,10 11 17 27 54,20,2,10,11,17,27,54
3/9/2021,3,9,2021,Tue,0,1,04 33 46 58 65,13,2,4,33,46,58,65
3/12/2021,3,12,2021,Fri,1,1,02 24 25 31 65,18,4,2,24,25,31,65
3/16/2021,3,16,2021,Tue,0,1,10 41 46 52 69,8,2,10,41,46,52,69
3/19/2021,3,19,2021,Fri,1,1,09 14 40 58 69,8,3,9,14,40,58,69
3/23/2021,3,23,2021,Tue,0,1,12 23 35 38 55,11,2,12,23,35,38,55
3/26/2021,3,26,2021,Fri,1,1,04 25 37 46 67,15,3,4,25,37,46,67
3/30/2021,3,30,2021,Tue,0,1,11 37 47 53 56,15,3,11,37,47,53,56
4/2/2021,4,2,2021,Fri,1,2,10 42 48 53 62,19,2,10,42,48,53,62
4/6/2021,4,6,2021,Tue,0,2,01 19 20 32 42,17,3,1,19,20,32,42
4/9/2021,4,9,2021,Fri,1,2,22 26 27 58 66,12,2,22,26,27,58,66
4/13/2021,4,13,2021,Tue,0,2,10 15 19 45 68,9,4,10,15,19,45,68
4/16/2021,4,16,2021,Fri,1,2,17 27 28 50 55,25,4,17,27,28,50,55
4/20/2021,4,20,2021,Tue,0,2,06 23 43 49 52,5,3,6,23,43,49,52
4/23/2021,4,23,2021,Fri,1,2,04 28 29 30 60,25,3,4,28,29,30,60
9/22/2020,9,22,2020,Tue,0,3,36 43 44 55 68,12,4,36,43,44,55,68
9/18/2020,9,18,2020,Fri,1,3,26 29 41 52 64,11,3,26,29,41,52,64
9/15/2020,9,15,2020,Tue,0,3,25 28 38 59 62,22,4,25,28,38,59,62
9/11/2020,9,11,2020,Fri,1,3,03 15 42 48 56,13,2,3,15,42,48,56
9/8/2020,9,8,2020,Tue,0,3,07 10 15 31 57,21,2,7,10,15,31,57
9/4/2020,9,4,2020,Fri,1,3,19 22 24 28 53,25,3,19,22,24,28,53
9/1/2020,9,1,2020,Tue,0,3,15 25 26 38 47,22,4,15,25,26,38,47
8/28/2020,8,28,2020,Fri,1,3,03 09 50 53 64,1,3,3,9,50,53,64
8/25/2020,8,25,2020,Tue,0,3,08 10 15 17 57,12,3,8,10,15,17,57
8/21/2020,8,21,2020,Fri,1,3,11 15 31 42 63,14,2,11,15,31,42,63
8/18/2020,8,18,2020,Tue,0,3,04 18 26 27 58,23,4,4,18,26,27,58
8/14/2020,8,14,2020,Fri,1,3,03 24 29 42 47,13,2,3,24,29,42,47
8/11/2020,8,11,2020,Tue,0,3,08 22 29 43 56,9,4,8,22,29,43,56
8/7/2020,8,7,2020,Fri,1,3,04 44 53 64 70,3,2,4,44,53,64,70
8/4/2020,8,4,2020,Tue,0,3,02 22 30 42 62,20,3,2,22,30,42,62
7/31/2020,7,31,2020,Fri,1,3,12 35 46 48 69,23,2,12,35,46,48,69
7/28/2020,7,28,2020,Tue,0,3,17 20 27 31 34,19,4,17,20,27,31,34
7/24/2020,7,24,2020,Fri,1,3,08 33 39 54 58,17,3,8,33,39,54,58
7/21/2020,7,21,2020,Tue,0,3,14 25 26 41 43,15,3,14,25,26,41,43
7/17/2020,7,17,2020,Fri,1,3,12 13 21 46 57,21,3,12,13,21,46,57
7/14/2020,7,14,2020,Tue,0,3,06 26 55 56 64,22,4,6,26,55,56,64
7/10/2020,7,10,2020,Fri,1,3,10 15 20 49 53,22,5,10,15,20,49,53
7/7/2020,7,7,2020,Tue,0,3,16 20 25 30 43,18,3,16,20,25,30,43
7/3/2020,7,3,2020,Fri,1,3,20 40 44 45 50,24,2,20,40,44,45,50
6/30/2020,6,30,2020,Tue,0,2,09 16 29 37 53,11,2,9,16,29,37,53
6/26/2020,6,26,2020,Fri,1,2,19 33 37 56 57,6,2,19,33,37,56,57
6/23/2020,6,23,2020,Tue,0,2,06 20 37 40 48,15,3,6,20,37,40,48
6/19/2020,6,19,2020,Fri,1,2,11 34 36 52 66,7,2,11,34,36,52,66
6/16/2020,6,16,2020,Tue,0,2,21 23 33 35 42,6,3,21,23,33,35,42
6/12/2020,6,12,2020,Fri,1,2,09 14 57 67 70,2,3,9,14,57,67,70
6/9/2020,6,9,2020,Tue,0,2,01 05 09 10 23,22,2,1,5,9,10,23
6/5/2020,6,5,2020,Fri,1,2,32 35 37 47 55,22,3,32,35,37,47,55
6/2/2020,6,2,2020,Tue,0,2,09 20 23 26 29,8,3,9,20,23,26,29
5/29/2020,5,29,2020,Fri,1,2,10 13 32 41 51,3,2,10,13,32,41,51
5/26/2020,5,26,2020,Tue,0,2,34 52 58 59 62,4,3,34,52,58,59,62
5/22/2020,5,22,2020,Fri,1,2,08 10 20 44 46,18,4,8,10,20,44,46
5/19/2020,5,19,2020,Tue,0,2,08 19 25 36 66,9,2,8,19,25,36,66
5/15/2020,5,15,2020,Fri,1,2,11 17 32 33 46,25,3,11,17,32,33,46
5/12/2020,5,12,2020,Tue,0,2,07 16 27 44 52,5,5,7,16,27,44,52
5/8/2020,5,8,2020,Fri,1,2,05 20 22 61 70,4,2,5,20,22,61,70
5/5/2020,5,5,2020,Tue,0,2,07 13 17 21 45,14,2,7,13,17,21,45
5/1/2020,5,1,2020,Fri,1,2,28 30 31 35 66,14,2,28,30,31,35,66
4/28/2020,4,28,2020,Tue,0,2,13 19 53 54 63,17,3,13,19,53,54,63
4/24/2020,4,24,2020,Fri,1,2,01 27 32 60 67,18,2,1,27,32,60,67
4/21/2020,4,21,2020,Tue,0,2,13 15 24 67 70,17,2,13,15,24,67,70
4/17/2020,4,17,2020,Fri,1,2,13 35 39 46 55,14,4,13,35,39,46,55
4/14/2020,4,14,2020,Tue,0,2,29 47 65 69 70,7,4,29,47,65,69,70
4/10/2020,4,10,2020,Fri,1,2,02 11 21 57 60,13,2,2,11,21,57,60
4/7/2020,4,7,2020,Tue,0,2,25 33 43 51 68,20,2,25,33,43,51,68
4/3/2020,4,3,2020,Fri,1,2,24 38 44 57 58,17,4,24,38,44,57,58
3/31/2020,3,31,2020,Tue,0,1,08 17 51 57 70,2,4,8,17,51,57,70
3/27/2020,3,27,2020,Fri,1,1,03 25 28 50 60,1,4,3,25,28,50,60
3/24/2020,3,24,2020,Tue,0,1,02 08 16 18 31,14,2,2,8,16,18,31
3/20/2020,3,20,2020,Fri,1,1,34 35 41 45 54,5,4,34,35,41,45,54
3/17/2020,3,17,2020,Tue,0,1,20 27 28 58 59,25,3,20,27,28,58,59
3/13/2020,3,13,2020,Fri,1,1,07 22 37 43 44,22,4,7,22,37,43,44
3/10/2020,3,10,2020,Tue,0,1,06 17 48 54 69,12,5,6,17,48,54,69
3/6/2020,3,6,2020,Fri,1,1,15 48 56 58 70,4,4,15,48,56,58,70
3/3/2020,3,3,2020,Tue,0,1,08 12 33 56 64,2,2,8,12,33,56,64
2/28/2020,2,28,2020,Fri,1,1,02 03 14 41 64,17,2,2,3,14,41,64
2/25/2020,2,25,2020,Tue,0,1,02 09 43 49 63,15,2,2,9,43,49,63
2/21/2020,2,21,2020,Fri,1,1,04 07 13 16 60,6,4,4,7,13,16,60
2/18/2020,2,18,2020,Tue,0,1,06 12 39 61 70,4,3,6,12,39,61,70
2/14/2020,2,14,2020,Fri,1,1,10 32 48 54 55,18,5,10,32,48,54,55
2/11/2020,2,11,2020,Tue,0,1,04 06 32 52 64,6,2,4,6,32,52,64
2/7/2020,2,7,2020,Fri,1,1,09 14 27 36 52,4,3,9,14,27,36,52
2/4/2020,2,4,2020,Tue,0,1,32 48 50 51 64,10,2,32,48,50,51,64
1/31/2020,1,31,2020,Fri,1,1,28 31 33 57 62,19,2,28,31,33,57,62
1/28/2020,1,28,2020,Tue,0,1,17 36 47 51 62,21,3,17,36,47,51,62
1/24/2020,1,24,2020,Fri,1,1,03 04 18 23 38,24,4,3,4,18,23,38
1/21/2020,1,21,2020,Tue,0,1,16 18 29 31 37,8,3,16,18,29,31,37
1/17/2020,1,17,2020,Fri,1,1,03 25 30 54 70,9,3,3,25,30,54,70
1/14/2020,1,14,2020,Tue,0,1,09 11 13 31 47,11,2,9,11,13,31,47
1/10/2020,1,10,2020,Fri,1,1,17 27 49 51 66,2,2,17,27,49,51,66
1/7/2020,1,7,2020,Tue,0,1,25 40 41 52 56,21,4,25,40,41,52,56
1/3/2020,1,3,2020,Fri,1,1,37 41 42 53 63,16,2,37,41,42,53,63
12/31/2019,12,31,2019,Tue,0,4,30 44 49 53 56,11,3,30,44,49,53,56
12/27/2019,12,27,2019,Fri,1,4,17 34 40 63 64,24,4,17,34,40,63,64
12/24/2019,12,24,2019,Tue,0,4,27 37 48 63 66,11,2,27,37,48,63,66
12/20/2019,12,20,2019,Fri,1,4,03 20 23 35 60,16,3,3,20,23,35,60
12/17/2019,12,17,2019,Tue,0,4,22 30 53 55 56,16,2,22,30,53,55,56
12/13/2019,12,13,2019,Fri,1,4,17 21 29 39 56,22,3,17,21,29,39,56
12/10/2019,12,10,2019,Tue,0,4,18 31 46 54 61,25,2,18,31,46,54,61
12/6/2019,12,6,2019,Fri,1,4,20 31 40 46 61,20,5,20,31,40,46,61
12/3/2019,12,3,2019,Tue,0,4,23 43 60 63 69,19,2,23,43,60,63,69
11/29/2019,11,29,2019,Fri,1,4,06 08 31 50 65,9,2,6,8,31,50,65
11/26/2019,11,26,2019,Tue,0,4,08 27 29 38 43,13,2,8,27,29,38,43
11/22/2019,11,22,2019,Fri,1,4,07 12 17 49 53,24,4,7,12,17,49,53
11/19/2019,11,19,2019,Tue,0,4,22 43 44 47 66,22,3,22,43,44,47,66
11/15/2019,11,15,2019,Fri,1,4,12 19 34 35 68,20,2,12,19,34,35,68
11/12/2019,11,12,2019,Tue,0,4,19 30 44 56 65,24,2,19,30,44,56,65
11/8/2019,11,8,2019,Fri,1,4,03 04 10 39 58,14,3,3,4,10,39,58
11/5/2019,11,5,2019,Tue,0,4,02 09 24 49 54,19,3,2,9,24,49,54
11/1/2019,11,1,2019,Fri,1,4,09 20 36 41 54,22,2,9,20,36,41,54
10/29/2019,10,29,2019,Tue,0,4,04 09 17 27 39,22,2,4,9,17,27,39
10/25/2019,10,25,2019,Fri,1,4,16 24 25 52 60,6,3,16,24,25,52,60
10/22/2019,10,22,2019,Tue,0,4,05 11 14 23 25,10,4,5,11,14,23,25
10/18/2019,10,18,2019,Fri,1,4,18 58 60 65 67,20,3,18,58,60,65,67
10/15/2019,10,15,2019,Tue,0,4,04 12 14 35 70,2,2,4,12,14,35,70
10/11/2019,10,11,2019,Fri,1,4,14 22 30 37 60,8,3,14,22,30,37,60
10/8/2019,10,8,2019,Tue,0,4,05 08 10 17 48,23,3,5,8,10,17,48
10/4/2019,10,4,2019,Fri,1,4,11 38 44 48 70,17,2,11,38,44,48,70
10/1/2019,10,1,2019,Tue,0,4,10 17 39 42 59,3,2,10,17,39,42,59
9/27/2019,9,27,2019,Fri,1,3,12 20 31 43 45,20,3,12,20,31,43,45
9/24/2019,9,24,2019,Tue,0,3,06 14 24 42 46,9,4,6,14,24,42,46
9/20/2019,9,20,2019,Fri,1,3,23 24 42 48 53,22,2,23,24,42,48,53
9/17/2019,9,17,2019,Tue,0,3,12 15 30 50 65,1,4,12,15,30,50,65
9/13/2019,9,13,2019,Fri,1,3,06 16 37 59 62,5,2,6,16,37,59,62
9/10/2019,9,10,2019,Tue,0,3,34 47 48 50 55,24,2,34,47,48,50,55
9/6/2019,9,6,2019,Fri,1,3,04 11 13 19 31,10,4,4,11,13,19,31
9/3/2019,9,3,2019,Tue,0,3,13 20 27 61 62,5,2,13,20,27,61,62
8/30/2019,8,30,2019,Fri,1,3,03 09 11 34 39,10,4,3,9,11,34,39
8/27/2019,8,27,2019,Tue,0,3,08 12 23 39 43,6,2,8,12,23,39,43
8/23/2019,8,23,2019,Fri,1,3,11 15 37 54 68,21,2,11,15,37,54,68
8/20/2019,8,20,2019,Tue,0,3,08 14 25 51 63,4,3,8,14,25,51,63
8/16/2019,8,16,2019,Fri,1,3,04 14 24 26 46,14,2,4,14,24,26,46
8/13/2019,8,13,2019,Tue,0,3,07 27 31 34 51,5,3,7,27,31,34,51
8/9/2019,8,9,2019,Fri,1,3,15 53 56 59 63,1,2,15,53,56,59,63
8/6/2019,8,6,2019,Tue,0,3,11 17 31 43 55,16,2,11,17,31,43,55
8/2/2019,8,2,2019,Fri,1,3,11 20 26 48 70,19,2,11,20,26,48,70
7/30/2019,7,30,2019,Tue,0,3,10 24 28 33 38,6,3,10,24,28,33,38
7/26/2019,7,26,2019,Fri,1,3,04 06 11 43 48,11,3,4,6,11,43,48
7/23/2019,7,23,2019,Tue,0,3,01 04 23 40 45,11,2,1,4,23,40,45
7/19/2019,7,19,2019,Fri,1,3,16 18 28 33 67,14,3,16,18,28,33,67
7/16/2019,7,16,2019,Tue,0,3,08 16 31 48 52,23,3,8,16,31,48,52
7/12/2019,7,12,2019,Fri,1,3,08 25 38 56 59,7,2,8,25,38,56,59
7/9/2019,7,9,2019,Tue,0,3,12 26 40 48 64,1,2,12,26,40,48,64
7/5/2019,7,5,2019,Fri,1,3,06 38 47 57 63,12,2,6,38,47,57,63
7/2/2019,7,2,2019,Tue,0,3,03 25 37 40 55,13,2,3,25,37,40,55
6/28/2019,6,28,2019,Fri,1,2,02 35 49 53 63,1,2,2,35,49,53,63
6/25/2019,6,25,2019,Tue,0,2,24 33 45 47 61,17,3,24,33,45,47,61
6/21/2019,6,21,2019,Fri,1,2,13 30 36 48 62,18,3,13,30,36,48,62
6/18/2019,6,18,2019,Tue,0,2,12 14 22 24 48,21,2,12,14,22,24,48
6/14/2019,6,14,2019,Fri,1,2,19 40 47 57 65,6,2,19,40,47,57,65
6/11/2019,6,11,2019,Tue,0,2,20 34 39 43 57,13,3,20,34,39,43,57
6/7/2019,6,7,2019,Fri,1,2,17 19 27 40 68,2,3,17,19,27,40,68
6/4/2019,6,4,2019,Tue,0,2,25 37 46 48 68,25,2,25,37,46,48,68
5/31/2019,5,31,2019,Fri,1,2,07 08 26 65 67,4,3,7,8,26,65,67
5/28/2019,5,28,2019,Tue,0,2,09 21 34 42 50,21,2,9,21,34,42,50
5/24/2019,5,24,2019,Fri,1,2,14 41 44 56 62,10,2,14,41,44,56,62
5/21/2019,5,21,2019,Tue,0,2,10 50 55 56 58,15,5,10,50,55,56,58
5/17/2019,5,17,2019,Fri,1,2,05 17 28 32 63,11,3,5,17,28,32,63
5/14/2019,5,14,2019,Tue,0,2,11 59 66 67 68,18,4,11,59,66,67,68
5/10/2019,5,10,2019,Fri,1,2,03 16 21 61 62,19,2,3,16,21,61,62
5/7/2019,5,7,2019,Tue,0,2,03 06 34 54 63,19,3,3,6,34,54,63
5/3/2019,5,3,2019,Fri,1,2,08 16 22 66 68,11,2,8,16,22,66,68
4/30/2019,4,30,2019,Tue,0,2,24 37 41 61 70,20,3,24,37,41,61,70
4/26/2019,4,26,2019,Fri,1,2,09 17 23 30 46,10,4,9,17,23,30,46
4/23/2019,4,23,2019,Tue,0,2,07 24 30 48 67,9,4,7,24,30,48,67
4/19/2019,4,19,2019,Fri,1,2,18 25 43 44 57,25,4,18,25,43,44,57
4/16/2019,4,16,2019,Tue,0,2,11 29 34 48 54,10,2,11,29,34,48,54
4/12/2019,4,12,2019,Fri,1,2,01 24 25 40 70,4,2,1,24,25,40,70
4/9/2019,4,9,2019,Tue,0,2,11 22 34 44 58,9,2,11,22,34,44,58
4/5/2019,4,5,2019,Fri,1,2,08 22 24 38 64,21,2,8,22,24,38,64
4/2/2019,4,2,2019,Tue,0,2,33 47 58 59 64,25,3,33,47,58,59,64
3/29/2019,3,29,2019,Fri,1,1,05 14 15 62 66,3,3,5,14,15,62,66
3/26/2019,3,26,2019,Tue,0,1,04 14 22 43 58,9,3,4,14,22,43,58
3/22/2019,3,22,2019,Fri,1,1,07 36 58 60 62,10,3,7,36,58,60,62
3/19/2019,3,19,2019,Tue,0,1,10 42 53 67 68,15,3,10,42,53,67,68
3/15/2019,3,15,2019,Fri,1,1,03 29 56 62 64,4,3,3,29,56,62,64
3/12/2019,3,12,2019,Tue,0,1,10 12 16 49 57,18,4,10,12,16,49,57
3/8/2019,3,8,2019,Fri,1,1,04 09 42 62 68,7,4,4,9,42,62,68
3/5/2019,3,5,2019,Tue,0,1,15 20 32 37 52,6,3,15,20,32,37,52
3/1/2019,3,1,2019,Fri,1,1,29 33 39 60 66,21,2,29,33,39,60,66
2/26/2019,2,26,2019,Tue,0,1,10 12 14 24 60,20,3,10,12,14,24,60
2/22/2019,2,22,2019,Fri,1,1,18 24 31 34 55,4,4,18,24,31,34,55
2/19/2019,2,19,2019,Tue,0,1,17 24 34 56 65,3,2,17,24,34,56,65
2/15/2019,2,15,2019,Fri,1,1,10 38 40 43 65,12,2,10,38,40,43,65
2/12/2019,2,12,2019,Tue,0,1,15 32 39 50 65,7,3,15,32,39,50,65
2/8/2019,2,8,2019,Fri,1,1,14 24 31 42 48,13,3,14,24,31,42,48
2/5/2019,2,5,2019,Tue,0,1,03 34 36 59 66,7,2,3,34,36,59,66
2/1/2019,2,1,2019,Fri,1,1,02 37 48 66 68,11,5,2,37,48,66,68
1/29/2019,1,29,2019,Tue,0,1,10 33 53 54 62,22,2,10,33,53,54,62
1/25/2019,1,25,2019,Fri,1,1,08 16 30 38 61,10,2,8,16,30,38,61
1/22/2019,1,22,2019,Tue,0,1,04 15 37 59 64,16,5,4,15,37,59,64
1/18/2019,1,18,2019,Fri,1,1,02 43 48 62 64,24,3,2,43,48,62,64
1/15/2019,1,15,2019,Tue,0,1,29 52 58 60 62,7,2,29,52,58,60,62
1/11/2019,1,11,2019,Fri,1,1,04 05 31 62 69,20,3,4,5,31,62,69
1/8/2019,1,8,2019,Tue,0,1,13 26 29 38 64,5,5,13,26,29,38,64
1/4/2019,1,4,2019,Fri,1,1,21 29 35 54 60,15,4,21,29,35,54,60
1/1/2019,1,1,2019,Tue,0,1,34 44 57 62 70,14,4,34,44,57,62,70
12/28/2018,12,28,2018,Fri,1,4,09 10 25 37 38,21,2,9,10,25,37,38
12/25/2018,12,25,2018,Tue,0,4,02 08 42 43 50,6,3,2,8,42,43,50
12/21/2018,12,21,2018,Fri,1,4,10 13 61 62 70,5,3,10,13,61,62,70
12/18/2018,12,18,2018,Tue,0,4,13 22 32 60 69,9,3,13,22,32,60,69
12/14/2018,12,14,2018,Fri,1,4,05 22 26 43 49,23,4,5,22,26,43,49
12/11/2018,12,11,2018,Tue,0,4,04 38 39 54 59,12,2,4,38,39,54,59
12/7/2018,12,7,2018,Fri,1,4,04 10 20 33 57,13,3,4,10,20,33,57
12/4/2018,12,4,2018,Tue,0,4,28 31 41 42 50,4,3,28,31,41,42,50
11/30/2018,11,30,2018,Fri,1,4,25 28 40 43 63,19,3,25,28,40,43,63
11/27/2018,11,27,2018,Tue,0,4,12 24 37 42 57,18,4,12,24,37,42,57
11/23/2018,11,23,2018,Fri,1,4,07 10 30 33 59,23,4,7,10,30,33,59
11/20/2018,11,20,2018,Tue,0,4,10 16 31 42 66,10,3,10,16,31,42,66
11/16/2018,11,16,2018,Fri,1,4,33 36 63 68 69,16,3,33,36,63,68,69
11/13/2018,11,13,2018,Tue,0,4,34 46 57 65 69,11,3,34,46,57,65,69
11/9/2018,11,9,2018,Fri,1,4,08 14 27 57 67,5,4,8,14,27,57,67
11/6/2018,11,6,2018,Tue,0,4,28 34 37 56 69,12,2,28,34,37,56,69
11/2/2018,11,2,2018,Fri,1,4,03 23 28 46 62,16,2,3,23,28,46,62
10/30/2018,10,30,2018,Tue,0,4,20 31 39 46 49,23,2,20,31,39,46,49
10/26/2018,10,26,2018,Fri,1,4,01 28 61 62 63,5,4,1,28,61,62,63
10/23/2018,10,23,2018,Tue,0,4,05 28 62 65 70,5,3,5,28,62,65,70
10/19/2018,10,19,2018,Fri,1,4,15 23 53 65 70,7,2,15,23,53,65,70
10/16/2018,10,16,2018,Tue,0,4,03 45 49 61 69,9,5,3,45,49,61,69
10/12/2018,10,12,2018,Fri,1,4,04 24 46 61 70,7,3,4,24,46,61,70
10/9/2018,10,9,2018,Tue,0,4,20 22 39 54 60,18,3,20,22,39,54,60
10/5/2018,10,5,2018,Fri,1,4,27 28 32 41 69,12,2,27,28,32,41,69
10/2/2018,10,2,2018,Tue,0,4,02 22 29 31 34,1,3,2,22,29,31,34
9/28/2018,9,28,2018,Fri,1,3,39 45 52 56 59,15,3,39,45,52,56,59
9/25/2018,9,25,2018,Tue,0,3,08 16 32 48 61,12,2,8,16,32,48,61
9/21/2018,9,21,2018,Fri,1,3,01 02 11 52 64,9,4,1,2,11,52,64
9/18/2018,9,18,2018,Tue,0,3,31 32 43 63 68,17,2,31,32,43,63,68
9/14/2018,9,14,2018,Fri,1,3,23 30 40 43 66,13,4,23,30,40,43,66
9/11/2018,9,11,2018,Tue,0,3,15 30 51 62 67,19,2,15,30,51,62,67
9/7/2018,9,7,2018,Fri,1,3,08 10 41 54 68,10,2,8,10,41,54,68
9/4/2018,9,4,2018,Tue,0,3,02 07 25 35 44,3,3,2,7,25,35,44
8/31/2018,8,31,2018,Fri,1,3,07 18 29 32 45,17,3,7,18,29,32,45
8/28/2018,8,28,2018,Tue,0,3,03 20 33 34 41,20,3,3,20,33,34,41
8/24/2018,8,24,2018,Fri,1,3,01 06 13 18 49,8,2,1,6,13,18,49
8/21/2018,8,21,2018,Tue,0,3,14 16 19 38 57,11,3,14,16,19,38,57
8/17/2018,8,17,2018,Fri,1,3,01 31 32 47 56,3,2,1,31,32,47,56
8/14/2018,8,14,2018,Tue,0,3,11 26 44 45 46,11,2,11,26,44,45,46
8/10/2018,8,10,2018,Fri,1,3,01 03 12 22 42,6,5,1,3,12,22,42
8/7/2018,8,7,2018,Tue,0,3,02 13 15 21 62,2,5,2,13,15,21,62
8/3/2018,8,3,2018,Fri,1,3,09 28 30 54 60,2,2,9,28,30,54,60
7/31/2018,7,31,2018,Tue,0,3,12 15 35 64 69,9,2,12,15,35,64,69
7/27/2018,7,27,2018,Fri,1,3,01 32 40 49 63,20,3,1,32,40,49,63
7/24/2018,7,24,2018,Tue,0,3,01 02 04 19 29,20,3,1,2,4,19,29
7/20/2018,7,20,2018,Fri,1,3,01 14 30 44 62,1,2,1,14,30,44,62
7/17/2018,7,17,2018,Tue,0,3,40 41 61 66 67,12,5,40,41,61,66,67
7/13/2018,7,13,2018,Fri,1,3,21 22 39 59 68,2,2,21,22,39,59,68
7/10/2018,7,10,2018,Tue,0,3,01 17 28 56 70,14,3,1,17,28,56,70
7/6/2018,7,6,2018,Fri,1,3,02 10 46 50 56,16,3,2,10,46,50,56
7/3/2018,7,3,2018,Tue,0,3,13 35 45 49 68,23,2,13,35,45,49,68
6/29/2018,6,29,2018,Fri,1,2,02 32 47 49 68,23,4,2,32,47,49,68
6/26/2018,6,26,2018,Tue,0,2,17 25 29 39 60,19,2,17,25,29,39,60
6/22/2018,6,22,2018,Fri,1,2,02 06 11 27 44,20,2,2,6,11,27,44
6/19/2018,6,19,2018,Tue,0,2,11 13 28 65 70,14,3,11,13,28,65,70
6/15/2018,6,15,2018,Fri,1,2,01 11 37 47 51,6,2,1,11,37,47,51
6/12/2018,6,12,2018,Tue,0,2,01 03 05 08 70,3,2,1,3,5,8,70
6/8/2018,6,8,2018,Fri,1,2,14 30 33 44 56,13,2,14,30,33,44,56
